       x;        y;       s;         m
 692.500;    692.0;     1.4;   5.534
 840.500;    693.0;     1.4;   6.687
 322.000;    695.0;     1.4;   5.259
 594.500;    702.5;     1.4;   5.478
 318.500;    703.0;     1.4;   6.281
 756.500;    706.5;     1.4;   5.023
 705.000;    707.5;     1.4;   5.044
 616.000;    708.0;     1.4;   5.395
 350.500;    710.5;     1.4;   5.033
 840.500;    712.5;     1.4;   5.899
 321.500;    713.5;     1.4;   5.521
 691.500;    717.0;     1.4;   5.265
 840.500;    719.5;     1.4;   5.729
 320.500;    720.0;     1.4;   5.504
 698.500;    725.0;     1.4;   5.496
 748.500;    725.0;     1.4;   5.441
 683.500;    725.5;     1.4;   5.268
 842.500;    725.5;     1.4;   5.121
 689.500;    726.0;     1.4;   5.117
 840.500;    727.5;     1.4;   5.931
 617.500;    730.5;     1.4;   5.232
 840.500;    731.5;     1.4;   7.202
 610.000;    732.0;     1.4;   5.431
 698.000;    732.5;     1.4;   5.702
 318.500;    734.0;     1.4;   6.321
 320.500;    734.5;     1.4;   5.825
 240.000;    735.5;     1.4;   5.441
 698.000;    736.5;     1.4;   5.281
 705.000;    736.5;     1.4;   5.258
 720.500;    737.5;     1.4;   5.439
 831.500;    744.0;     1.4;   5.598
 707.000;    745.5;     1.4;   5.038
 709.500;    746.5;     1.4;   5.435
 690.000;    747.0;     1.4;   5.391
 835.000;    750.5;     1.4;   5.649
 615.000;    751.5;     1.4;   5.091
 729.000;    751.5;     1.4;   5.467
 954.500;    752.0;     1.4;   5.229
 709.000;    752.5;     1.4;   5.238
 841.000;    754.0;     1.4;   7.007
 728.500;    756.5;     1.4;   6.133
 632.000;    757.0;     1.4;   5.049
 210.000;    758.5;     1.4;   5.664
 298.000;    761.0;     1.4;   5.771
 751.000;    761.0;     1.4;   5.594
 786.000;    761.5;     1.4;   5.487
 318.000;    763.5;     1.4;   6.776
 320.000;    764.0;     1.4;   5.133
 350.000;    764.5;     1.4;   5.686
 352.500;    765.0;     1.4;   5.568
 310.000;    766.5;     1.4;   5.429
 297.500;    767.0;     1.4;   5.906
 312.000;    767.0;     1.4;   5.196
 354.000;    767.0;     1.4;   5.236
 319.500;    767.5;     1.4;   6.005
 308.000;    768.5;     1.4;   5.889
 749.500;    768.5;     1.4;   5.993
 859.500;    770.5;     1.4;   5.246
 348.000;    771.0;     1.4;   7.213
 702.500;    772.0;     1.4;   5.098
 350.000;    772.5;     1.4;   6.334
 841.000;    772.5;     1.4;   6.091
 348.000;    774.0;     1.4;   5.908
 210.000;    775.0;     1.4;   7.727
 320.000;    776.5;     1.4;   5.933
 318.000;    778.5;     1.4;   5.816
 757.500;    778.5;     1.4;   5.884
 240.000;    779.0;     1.4;   5.285
 334.500;    779.5;     1.4;   6.498
 349.500;    780.5;     1.4;   5.427
 691.500;    780.5;     1.4;   5.081
 283.000;    782.5;     1.4;   5.162
 309.500;    782.5;     1.4;   5.070
 319.000;    782.5;     1.4;   5.340
 841.000;    784.0;     1.4;   6.602
 312.000;    785.5;     1.4;   5.750
 325.500;    787.0;     1.4;   5.353
 210.000;    787.5;     1.4;   7.969
 240.000;    787.5;     1.4;   6.231
 382.500;    787.5;     1.4;   5.139
 351.000;    788.5;     1.4;   5.778
 740.500;    788.5;     1.4;   5.124
 347.000;    789.5;     1.4;   5.500
 742.500;    789.5;     1.4;   5.088
 312.000;    791.0;     1.4;   6.860
 312.000;    793.0;     1.4;   6.757
 336.500;    793.5;     1.4;   5.019
 347.000;    793.5;     1.4;   6.912
 240.000;    795.5;     1.4;   5.436
 316.500;    797.0;     1.4;   6.562
 344.000;    798.0;     1.4;   5.637
 346.500;    798.0;     1.4;   5.610
 279.000;    798.5;     1.4;   5.724
 336.500;    798.5;     1.4;   5.313
 312.000;    799.0;     1.4;   5.427
 424.000;    801.5;     1.4;   5.139
 803.000;    802.0;     1.4;   5.233
 983.000;    803.5;     1.4;   6.767
 344.000;    804.5;     1.4;   6.306
 363.000;    805.0;     1.4;   5.961
 346.500;    805.5;     1.4;   7.842
 239.000;    807.5;     1.4;   6.166
 278.500;    807.5;     1.4;   5.144
 344.000;    811.0;     1.4;   6.137
 239.000;    812.0;     1.4;   6.081
 346.000;    812.0;     1.4;   6.833
 839.500;    812.0;     1.4;   6.923
 841.500;    812.0;     1.4;   5.294
 489.000;    813.0;     1.4;   5.007
 412.000;    815.0;     1.4;   5.038
 299.500;    817.5;     1.4;   6.614
 393.500;    818.0;     1.4;   5.218
 301.500;    819.5;     1.4;   5.503
 239.000;    820.0;     1.4;   5.004
 299.500;    820.0;     1.4;   6.433
 469.000;    820.0;     1.4;   5.130
 367.000;    820.5;     1.4;   5.371
 347.500;    821.0;     1.4;   6.735
 478.000;    821.0;     1.4;   5.129
 841.000;    821.5;     1.4;   5.444
 836.500;    822.5;     1.4;   5.026
 839.000;    824.0;     1.4;   6.975
 770.500;    825.5;     1.4;   5.369
 394.500;    827.5;     1.4;   5.403
 345.500;    828.0;     1.4;   5.655
 346.000;    831.0;     1.4;   6.590
 348.000;    831.5;     1.4;   5.444
 705.000;    833.0;     1.4;   5.438
 347.500;    835.5;     1.4;   6.635
 955.000;    835.5;     1.4;   6.196
 345.000;    836.5;     1.4;   5.148
 486.000;    837.5;     1.4;   5.253
 768.000;    837.5;     1.4;   5.079
 310.000;    839.0;     1.4;   6.897
 346.000;    840.0;     1.4;   5.184
 954.500;    840.0;     1.4;   6.054
 379.000;    840.5;     1.4;   5.238
 324.500;    841.5;     1.4;   5.112
 362.000;    841.5;     1.4;   5.645
 486.000;    844.0;     1.4;   5.692
 437.500;    847.5;     1.4;   5.049
 426.000;    848.0;     1.4;   5.229
 914.500;    855.0;     1.4;   5.561
 396.000;    856.5;     1.4;   6.187
 238.000;    858.5;     1.4;   5.693
 379.000;    859.0;     1.4;   5.964
 838.000;    863.0;     1.4;   5.905
 314.000;    864.0;     1.4;   7.843
 955.500;    864.0;     1.4;   6.028
 410.000;    866.5;     1.4;   6.095
 342.000;    868.0;     1.4;   5.772
 344.000;    868.0;     1.4;   6.731
 310.500;    869.0;     1.4;   6.360
 405.000;    869.5;     1.4;   5.047
 649.000;    869.5;     1.4;   6.212
 388.500;    871.0;     1.4;   5.492
 838.000;    871.0;     1.4;   5.100
 756.000;    871.5;     1.4;   5.073
 278.000;    873.0;     1.4;   5.350
 462.500;    873.5;     1.4;   5.026
 838.000;    874.5;     1.4;   6.000
 474.500;    875.5;     1.4;   6.196
 955.000;    875.5;     1.4;   6.443
 467.500;    876.0;     1.4;   5.071
 371.000;    876.5;     1.4;   5.171
 282.000;    878.0;     1.4;   5.477
 838.000;    878.5;     1.4;   5.425
 955.500;    879.5;     1.4;   5.730
 277.500;    880.0;     1.4;   5.110
 457.500;    880.0;     1.4;   5.576
 282.000;    880.5;     1.4;   5.303
 390.000;    885.5;     1.4;   5.760
 293.500;    887.0;     1.4;   5.066
 403.000;    887.5;     1.4;   5.361
 313.000;    888.0;     1.4;   5.640
 955.500;    888.0;     1.4;   5.303
 459.000;    888.5;     1.4;   5.874
 309.000;    891.5;     1.4;   5.278
 402.000;    892.5;     1.4;   6.600
 543.000;    894.5;     1.4;   5.400
 839.500;    896.0;     1.4;   5.313
 366.500;    896.5;     1.4;   5.173
 544.500;    896.5;     1.4;   5.213
 395.500;    897.5;     1.4;   5.130
 284.500;    898.0;     1.4;   5.180
 392.000;    898.0;     1.4;   6.864
 398.000;    899.5;     1.4;   5.018
 478.500;    899.5;     1.4;   6.251
 486.000;    899.5;     1.4;   5.661
 394.500;    900.0;     1.4;   5.148
 405.000;    900.0;     1.4;   6.805
 408.500;    900.0;     1.4;   6.607
 429.000;    900.0;     1.4;   5.985
 482.500;    900.0;     1.4;   6.512
 811.500;    900.0;     1.4;   5.901
 401.500;    900.5;     1.4;   6.470
 475.000;    900.5;     1.4;   5.637
 493.500;    900.5;     1.4;   5.391
 500.500;    900.5;     1.4;   7.605
 505.000;    900.5;     1.4;   8.097
 413.500;    901.0;     1.4;   5.533
 410.000;    901.5;     1.4;   5.753
 613.500;    901.5;     1.4;   5.926
 727.000;    901.5;     1.4;   5.552
 362.000;    902.0;     1.4;   5.519
 403.000;    902.0;     1.4;   6.145
 406.500;    902.0;     1.4;   5.274
 434.500;    902.0;     1.4;   5.095
 844.500;    902.0;     1.4;   5.372
 642.500;    902.5;     1.4;   5.509
 471.000;    906.0;     1.4;   5.335
 549.000;    906.0;     1.4;   5.639
 312.000;    907.5;     1.4;   6.709
 955.000;    908.0;     1.4;   5.293
 314.000;    908.5;     1.4;   6.589
 312.000;    911.0;     1.4;   6.562
 391.000;    913.5;     1.4;   5.186
 955.000;    915.0;     1.4;   5.908
 342.000;    916.0;     1.4;   6.813
 419.000;    917.0;     1.4;   5.219
 442.500;    917.5;     1.4;   5.677
 839.000;    918.0;     1.4;   5.161
 955.000;    919.5;     1.4;   6.563
 434.000;    920.0;     1.4;   5.024
 436.000;    921.5;     1.4;   5.267
 643.500;    925.0;     1.4;   5.219
 307.500;    926.0;     1.4;   5.136
 611.000;    926.0;     1.4;   5.577
 310.500;    928.0;     1.4;   5.076
 581.000;    928.0;     1.4;   5.965
 955.000;    928.0;     1.4;   5.796
 415.000;    929.5;     1.4;   5.771
 529.000;    930.0;     1.4;   5.055
 304.000;    930.5;     1.4;   5.612
 635.000;    930.5;     1.4;   5.153
 642.000;    930.5;     1.4;   5.850
 955.000;    932.0;     1.4;   6.193
 239.000;    937.0;     1.4;   5.034
 955.000;    940.0;     1.4;   5.729
 955.000;    944.5;     1.4;   6.213
 668.000;    946.0;     1.4;   5.071
 954.500;    948.0;     1.4;   5.856
 475.000;    948.5;     1.4;   5.938
 382.000;    949.0;     1.4;   5.636
 955.000;    953.0;     1.4;   5.637
 631.500;    960.0;     1.4;   5.403
 945.000;    987.0;     1.4;   5.192
 878.500;    989.5;     1.4;   5.200
 526.500;    999.5;     1.4;   5.339
 647.000;   1001.5;     1.4;   5.498
 954.500;   1001.5;     1.4;   5.470
 844.000;   1015.5;     1.4;   5.999
 891.000;   1021.0;     1.4;   5.392
 652.500;   1021.5;     1.4;   5.258
 938.000;   1022.0;     1.4;   5.203
 648.000;   1025.0;     1.4;   5.870
 943.000;   1025.5;     1.4;   5.233
 857.000;   1026.5;     1.4;   5.118
 921.500;   1026.5;     1.4;   5.478
 925.500;   1028.0;     1.4;   5.281
 864.500;   1028.5;     1.4;   5.123
 919.000;   1030.5;     1.4;   5.130
 954.000;   1030.5;     1.4;   5.516
 925.500;   1031.0;     1.4;   5.258
 921.500;   1035.0;     1.4;   5.225
 954.000;   1038.5;     1.4;   6.685
 602.500;   1039.0;     1.4;   5.170
 655.500;   1042.5;     1.4;   5.293
 579.500;   1043.5;     1.4;   5.599
 721.500;   1044.5;     1.4;   5.651
 971.000;   1044.5;     1.4;   5.162
 982.500;   1044.5;     1.4;   6.351
 723.500;   1046.0;     1.4;   5.028
 870.000;   1047.5;     1.4;   5.096
 924.000;   1053.0;     1.4;   5.262
 953.500;   1054.5;     1.4;   6.098
 913.000;   1057.5;     1.4;   5.444
 924.500;   1057.5;     1.4;   6.068
 953.000;   1059.0;     1.4;   5.125
 911.500;   1060.0;     1.4;   5.139
 953.500;   1063.0;     1.4;   6.203
 844.500;   1065.5;     1.4;   5.874
 682.000;   1066.5;     1.4;   5.109
 953.500;   1066.5;     1.4;   7.608
 859.500;   1067.5;     1.4;   5.268
 721.000;   1069.5;     1.4;   5.499
 953.000;   1070.0;     1.4;   6.517
 822.000;   1072.5;     1.4;   5.440
 725.000;   1073.0;     1.4;   5.038
 918.000;   1075.0;     1.4;   5.488
 908.000;   1076.5;     1.4;   5.423
 869.500;   1078.0;     1.4;   5.493
 829.000;   1079.0;     1.4;   6.054
 875.500;   1080.5;     1.4;   7.275
 961.500;   1084.5;     1.4;   5.044
 912.500;   1090.5;     1.4;   6.599
 683.000;   1091.0;     1.4;   5.346
 882.000;   1093.5;     1.4;   5.145
 903.000;   1093.5;     1.4;   5.038
 882.500;   1102.5;     1.4;   5.362
 982.500;   1104.5;     1.4;   6.338
